"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
1966,"M'Bala Nzola","ANG","FW","Spezia","Serie A",26,185,82,21,1068,0.17,59.1,0.09,13.8,16.9,21.1,0.08,0.25,0,1.68,0.17,0,14.8,1.51,61.1,0.76,25.8
1978,"David Okereke","NGA","FWMF","Venezia","Serie A",25,181,77,32,2053,0.31,45,0.18,15.2,14.6,20.7,0,0.79,0.18,1.93,0.26,0.04,17.6,2.81,51.6,1.71,32.2
2001,"Riccardo Orsolini","ITA","FW","Bologna","Serie A",25,183,73,29,1785,0.3,28.3,0.08,18.8,25.1,37.7,0.15,1.11,0.66,2.83,0.25,0,12.9,2.88,47.4,2.47,45.2
2004,"Victor Osimhen","NGA","FW","Napoli","Serie A",24,185,78,27,1983,0.64,30.8,0.15,13.6,11.2,15.9,0.09,0.14,0.05,2.59,0.36,0,14,1.82,50,1.91,41.1
2039,"Goran Pandev","MKD","FWMF","Genoa","Serie A",39,184,75,20,843,0,57.1,0,14.7,19.5,26.5,0.11,0.64,0,2.13,0.21,0,11.2,2.02,47.4,4.15,24.1
2061,"Leonardo Pavoletti","ITA","FW","Cagliari","Serie A",34,188,85,33,1518,0.3,30.6,0.14,9.8,19.8,30.1,0.06,0.41,0,1.66,0.18,0,11.4,0.47,50,1.95,55.2
2067,"João Pedro","ITA","FW","Cagliari","Serie A",30,182,70,37,3323,0.35,37.9,0.11,14.3,14.2,19.9,0.11,0.62,0.08,2.17,0.19,0.03,13.1,1.76,49.2,2.47,37.1
2089,"Gastón Pereiro","URU","FWMF","Cagliari","Serie A",27,190,76,29,975,0.37,42.9,0.19,20.2,21.6,34,0.19,1.2,0.46,3.61,0.28,0,23.2,1.67,61.1,0.83,41
2110,"Andrea Petagna","ITA","FW","Napoli","Serie A",27,190,85,24,586,0.46,46.2,0.23,13.1,18,24.6,0.15,0.46,0,2.31,0.15,0,13.2,2.77,61.1,2.46,41.2
2125,"Krzysztof Piątek","POL","FW","Fiorentina","Serie A",27,183,77,14,733,0.37,31.8,0.14,13,15.4,19.8,0,0.62,0,1.48,0.12,0,25.4,0.99,62.5,2.35,30.6
2137,"Andrea Pinamonti","ITA","FW","Empoli","Serie A",23,188,72,36,2869,0.41,25.6,0.1,15.3,12.6,20.5,0.06,0.56,0.09,2.01,0.28,0,12.4,0.88,42.9,1.82,42
2152,"Matteo Politano","ITA","FW","Napoli","Serie A",29,171,67,33,1650,0.16,26.2,0.07,18.5,30.1,42.2,0.22,1.48,0.44,4.21,0.44,0.05,16.9,2.4,50,1.53,33.3
2159,"Manolo Portanova","ITA","FWMF","Genoa","Serie A",22,183,77,24,1322,0.07,41.4,0.03,20.9,13.1,23.1,0,0.27,0,1.5,0,0,24.8,3.06,48.9,1.84,39
2167,"Dennis Praet","BEL","FWMF","Torino","Serie A",28,181,78,23,1539,0.12,28,0.08,16.2,26,34.8,0.12,1.52,0.7,2.63,0.29,0,13.3,1.75,40,1.17,30.6
2186,"Ignacio Pussetto","ARG","FWMF","Udinese","Serie A",27,180,74,28,1204,0.3,38.7,0.1,16.7,15.3,21.9,0.3,0.45,0.22,3.21,0.52,0.07,18.4,3.88,38.5,2.31,37.1
2190,"Fabio Quagliarella","ITA","FW","Sampdoria","Serie A",39,180,79,33,1664,0.22,17.5,0.05,19.1,17.4,25.5,0.11,0.92,0.27,2.59,0.38,0.05,15.9,1.35,64,1.73,36.4
2230,"Ante Rebić","CRO","FW","Milan","Serie A",29,185,78,24,891,0.2,20,0.07,15.4,19.8,30.7,0.2,2.73,0.81,5.35,0.3,0,23,3.33,60.6,0.91,30.6
2352,"Alexis Saelemaekers","BEL","FW","Milan","Serie A",23,180,72,36,1865,0.05,30.8,0.03,19.9,33.1,41.9,0.14,1.26,0.43,3.48,0.43,0.1,20,4.44,57.6,2.32,44.4
2376,"Antonio Sanabria","PAR","FW","Torino","Serie A",26,181,74,29,1803,0.3,38.8,0.12,11.7,18.5,24.5,0.05,0.25,0,1.8,0.25,0.05,15.3,0.95,52.6,1.75,31.3
2379,"Alexis Sánchez","CHI","FW","Inter","Serie A",34,168,62,27,881,0.51,39.4,0.15,15.5,36.2,46.6,0.2,3.06,0.41,4.49,0.61,0,16.7,3.37,72.7,2.86,32.4
2393,"Nicola Sansone","ITA","FWMF","Bologna","Serie A",31,173,63,27,896,0.2,25,0.08,19.4,23.7,33.6,0.3,1.1,0.7,3.3,0.8,0.1,18.5,3.1,35.5,2.3,18.8
2402,"Riccardo Saponara","ITA","FW","Fiorentina","Serie A",31,184,73,29,1284,0.21,37.8,0.08,19.7,29.9,38.6,0.21,1.96,0.42,3.78,0.35,0,8.6,3.57,37.3,1.89,53.3
2419,"Gianluca Scamacca","ITA","FW","Sassuolo","Serie A",23,195,85,36,2146,0.67,46.2,0.19,16.5,17.7,23.7,0,0.55,0.04,2.23,0.17,0,14.4,1.39,51.5,1.05,55.7
2471,"Eldor Shomurodov","UZB","FWMF","Roma","Serie A",27,190,76,28,784,0.34,35.5,0.1,12.1,18.3,26.7,0.46,0.92,0.34,3.56,0.69,0.11,22.1,1.61,14.3,0.8,41.2
2493,"Giovanni Simeone","ARG","FW","Hellas Verona","Serie A",27,181,81,35,2653,0.58,46.5,0.24,13.8,16.6,23.4,0.17,0.51,0.14,1.83,0.24,0,18.4,2.34,39.1,2.2,29.9
2539,"Riccardo Sottil","ITA","FW","Fiorentina","Serie A",23,180,75,24,1239,0.22,45.5,0.14,16.7,21.8,28,0.14,1.3,0.43,1.81,0.29,0.07,8.55,2.68,48.6,3.04,45.5
2587,"Isaac Success","NGA","FW","Udinese","Serie A",26,182,90,22,911,0.2,52,0.08,16.5,17.9,28.3,0.59,0.59,0.1,3.96,0.79,0,10.5,2.97,50,3.76,34.5
2768,"Daniele Verde","ITA","FWMF","Spezia","Serie A",26,168,64,33,1957,0.37,42.6,0.13,23.3,26.6,38.2,0.28,1.2,0.37,3.32,0.41,0,8.8,1.38,46.7,0.74,50
2769,"Simone Verdi","ITA","FWMF","Salernitana","Serie A",30,174,65,15,829,0.54,40,0.11,22.2,25,36.4,0,1.52,0.76,4.57,0.33,0,15,4.78,52.3,2.5,33.3
2801,"Dušan Vlahović","SRB","FW","Juventus","Serie A",22,190,75,15,1076,0.58,44.4,0.16,13.9,13.3,19.4,0.08,0.58,0,2.08,0.17,0,8.42,1.92,34.8,1.92,35.8
2869,"Kelvin Yeboah","ITA","FW","Genoa","Serie A",22,182,73,17,850,0,25,0,17.4,12.9,19.8,0.11,0.43,0.21,3.09,0.32,0,24.1,3.62,35.3,3.19,35.8
2888,"Nicolò Zaniolo","ITA","FW","Roma","Serie A",23,190,79,28,1971,0.09,28.6,0.03,17.9,18,25.3,0.05,1.05,0.09,3.7,0.41,0.05,16.7,4.93,47.2,3.15,34
2891,"Duván Zapata","COL","FW","Atalanta","Serie A",31,189,88,24,1722,0.52,39.7,0.09,12.8,22.3,29.2,0.21,1.1,0.21,4.14,0.42,0.05,8.64,3.09,52.5,1.68,39.8
