"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
1137,"Amine Harit","MAR","FWMF","Marseille","Ligue 1",25,180,67,23,1165,0.31,46.7,0.27,15.7,47.3,54,0.31,1.24,0.31,3.8,0.54,0.16,18.5,3.64,51.1,3.02,23.8
1162,"Luis Henrique","BRA","FWMF","Marseille","Ligue 1",21,181,74,20,699,0,33.3,0,15.3,21.3,26.9,0.13,0.9,0.26,1.79,0.13,0,13.3,2.44,26.3,0.51,16.7
1220,"Mauro Icardi","ARG","FW","Paris S-G","Ligue 1",29,181,75,24,1027,0.35,35.7,0.14,10.3,10.5,13.2,0,0.35,0,1.75,0.35,0,16.5,0.61,28.6,0.79,33.3
1323,"Tino Kadewere","ZIM","FW","Lyon","Ligue 1",26,183,71,15,506,0.18,38.9,0.06,12.8,24.3,29.8,0,1.25,0.36,2.14,0,0,22.3,1.96,63.6,0.89,23.8
1372,"Wahbi Khazri","TUN","FWMF","Saint-Étienne","Ligue 1",31,182,76,30,2225,0.4,25.7,0.09,23.3,17.4,25.2,0,1.01,0.16,2.79,0.12,0,15.3,2.51,43.5,1.98,29.6
1408,"Randal Kolo Muani","FRA","FWMF","Nantes","Ligue 1",24,187,73,36,2948,0.37,47.3,0.22,11.3,12.3,18.3,0.12,0.46,0.18,2.47,0.4,0.09,14.9,3.02,47.5,2.23,36.8
1413,"Ibrahima Koné","MLI","FW","Lorient","Ligue 1",23,190,83,16,732,0.62,57.1,0.36,14.8,12.5,17.5,0.12,0.49,0.12,3.09,0.37,0,15.7,0.86,28.6,1.36,25.9
1434,"Jean-Philippe Krasso","FRA","FW","Saint-Étienne","Ligue 1",25,187,90,16,453,0.2,16.7,0.08,10.5,13.8,21.2,0.2,0.2,0.2,2,0.6,0,22.8,5.6,46.4,1.8,47.4
1454,"Gaëtan Laborde","FRA","FW","Rennes","Ligue 1",28,181,78,34,2729,0.4,38.6,0.12,11.8,14.3,21.7,0.26,0.96,0.33,2.41,0.59,0.03,19.3,1.29,38.5,0.69,38.8
1468,"Didier Lamkel Zé","CMR","FW","Metz","Ligue 1",26,193,79,9,605,0.45,50,0.21,12.1,19.1,26.9,0,0.3,0.15,2.24,0,0,8.51,2.24,53.3,2.24,40
1486,"Jérémy Le Douaron","FRA","FW","Brest","Ligue 1",24,189,77,32,1446,0.31,43.2,0.14,13.7,12.7,19.6,0.19,0.56,0.31,1.37,0.19,0,24.3,2.36,31.6,2.05,38.4
1650,"Sekou Mara","FRA","FW","Bordeaux","Ligue 1",20,184,79,26,905,0.59,44.4,0.14,18.7,13.8,20.4,0,0.4,0.1,2.38,0.3,0.1,22.9,3.47,34.3,2.28,42.2
1692,"Gelson Martins","POR","FWMF","Monaco","Ligue 1",27,173,74,32,1905,0.19,37.9,0.14,13,24.7,32.3,0.14,0.66,0.19,1.93,0.24,0,23.1,4.86,51.5,1.79,38.5
1711,"Stephy Mavididi","ENG","FWMF","Montpellier","Ligue 1",24,182,71,30,2299,0.31,39,0.14,16.3,17.8,22.6,0.12,0.71,0.24,2.55,0.27,0.04,17.3,3.96,45.5,2.04,18
1721,"Kylian Mbappé","FRA","FW","Paris S-G","Ligue 1",24,178,73,35,3023,0.83,41.7,0.17,16.8,34.6,43.2,0.54,1.79,0.42,5.12,1.13,0.3,8.36,6.19,49.5,1.73,35.3
1728,"Nathanael Mbuku","FRA","FWMF","Reims","Ligue 1",20,170,65,31,1418,0.13,39.4,0.06,18.7,17,23.5,0.06,0.57,0.06,2.72,0.25,0,15.9,2.78,61.4,2.85,52
1775,"Lionel Messi","ARG","FWMF","Paris S-G","Ligue 1",35,170,72,26,2153,0.25,31.5,0.07,18,59.1,69.7,0.59,3.77,0.21,6.03,1,0.17,9.21,4.52,64.8,1.59,75
1791,"Arkadiusz Milik","POL","FW","Marseille","Ligue 1",28,186,78,23,1416,0.45,35.8,0.11,13.2,19.7,24.4,0.13,0.76,0,1.78,0.38,0,15.4,0.51,37.5,0.89,54.1
1818,"Terem Moffi","NGA","FW","Lorient","Ligue 1",23,188,82,37,2711,0.27,34.5,0.1,15.1,14.1,18.9,0.13,0.56,0.13,2.23,0.33,0.1,14.7,2.16,56.9,0.73,36.9
1826,"Florent Mollet","FRA","FWMF","Montpellier","Ligue 1",31,170,67,35,2630,0.21,30.9,0.11,21.2,33.1,40.9,0.07,0.79,0.27,2.36,0.21,0.03,13.3,1.4,43.9,1.68,32.6
1851,"Lebo Mothiba","RSA","FWMF","Troyes","Ligue 1",26,182,76,13,522,0.34,40,0.2,14.9,18.6,21.9,0,0.17,0.17,1.55,0.17,0,15.2,1.03,33.3,2.59,33.3
1859,"Steve Mounié","BEN","FW","Brest","Ligue 1",28,190,80,35,2312,0.35,33.3,0.1,12.1,17.6,28.3,0.08,0.47,0.04,1.91,0.35,0,21.1,0.74,42.1,1.4,64.9
1928,"Opa Nguette","SEN","FWMF","Metz","Ligue 1",28,182,76,26,1048,0.17,30.4,0.09,16.2,16.8,22.2,0.17,0.26,0,1.98,0.43,0.09,19.5,4.22,38.8,2.24,44.4
1932,"Ibrahima Niane","SEN","FW","Metz","Ligue 1",23,187,73,26,1582,0.17,23.3,0.05,16.7,17.2,23.6,0.06,0.11,0.06,1.48,0.28,0,12.4,1.25,45.5,1.65,43.2
1933,"M'Baye Niang","SEN","FW","Bordeaux","Ligue 1",28,188,83,22,777,0.35,40,0.12,15.8,13.4,20.5,0.12,0.12,0,1.86,0.23,0,18.4,2.09,38.9,2.21,35.3
1941,"Casimir Ninga","CHA","FW","Angers","Ligue 1",29,186,81,16,409,0,11.1,0,11.8,13.8,17.3,0,0.22,0,0.67,0,0,22.2,2.67,66.7,3.11,4.5
1950,"Arnaud Nordin","FRA","FWMF","Saint-Étienne","Ligue 1",24,170,69,36,1874,0.19,42.9,0.08,16.4,21.5,28.6,0.19,0.77,0.29,2.26,0.38,0.1,13.9,3.13,46.2,2.55,30.5
2062,"Dimitri Payet","FRA","FWMF","Marseille","Ligue 1",35,175,77,31,2592,0.42,31.1,0.08,23.2,43.8,58.3,0.35,2.43,0.52,6.53,0.69,0.03,10.3,2.01,62.1,1.67,30.8
2222,"Elba Rashani","KVX","FWMF","Clermont Foot","Ligue 1",29,181,71,29,1759,0.41,40,0.27,13.5,22.6,29.3,0.15,0.56,0.31,1.59,0.21,0,23.7,1.9,54.1,1.54,34.8
2267,"Renaud Ripart","FRA","FWDF","Troyes","Ligue 1",29,181,73,28,1893,0.1,30.2,0.05,15.4,23.1,32.3,0.1,0.71,0.29,2,0.14,0,23.1,2.48,42.3,1.95,42.6
2287,"Gerson Rodrigues","LUX","FW","Troyes","Ligue 1",27,190,81,12,848,0.11,30.4,0.04,19.2,17.7,23.5,0.11,0.85,0.11,1.38,0.11,0,19.4,3.51,39.4,1.81,40
2354,"Wesley Saïd","FRA","FWMF","Lens","Ligue 1",27,173,71,21,654,0.68,38.5,0.19,13.7,23.4,32.1,0,0.82,0,3.97,0.68,0,20.4,2.19,62.5,0.68,18.2
2467,"Xherdan Shaqiri","SUI","FWMF","Lyon","Ligue 1",31,169,72,11,679,0.27,38.5,0.15,20.4,35.3,46.1,0.4,2.4,0.27,3.47,0.4,0,8.93,1.73,53.8,0.4,33.3
2497,"Moses Simon","NGA","FWMF","Nantes","Ligue 1",27,168,69,30,2332,0.23,34.1,0.15,16.3,20.5,31.7,0.31,1.39,0.77,3.75,0.42,0.08,11.3,3.51,42.9,1.16,37.5
2518,"Islam Slimani","ALG","FW","Lyon","Ligue 1",34,188,83,12,573,0.16,33.3,0.08,10.3,23.6,30.2,0.16,1.56,0,2.81,0.47,0,13.3,0.16,100,0.78,63.3
2538,"Florian Sotoca","FRA","FWMF","Lens","Ligue 1",32,187,77,35,2480,0.22,33.8,0.06,14.7,32.9,43.3,0.14,1.01,0.36,2.46,0.25,0,16.7,1.56,55.8,1.23,65.7
2542,"Sambou Soumano","SEN","FW","Lorient","Ligue 1",21,182,70,21,447,0.6,22.2,0.17,10.6,12.4,18.6,0,0.2,0.2,1.6,0.2,0.2,18,3,73.3,2.2,43.6
2634,"Martin Terrier","FRA","FWMF","Rennes","Ligue 1",25,184,73,37,2779,0.68,50.6,0.22,14.6,25.4,31.7,0.1,1.36,0.32,3.2,0.55,0.03,18.4,1.72,58.5,1.59,51.3
2663,"Karl Toko Ekambi","CMR","FW","Lyon","Ligue 1",30,185,74,30,2296,0.47,48.6,0.14,14.2,29.5,37.1,0.2,1.65,0.63,2.9,0.47,0.04,10.4,3.73,49.5,0.63,56.1
2690,"Yoann Touzghar","TUN","FW","Troyes","Ligue 1",36,179,75,28,1457,0.25,44.4,0.15,12.8,14.9,18.9,0,0.25,0,1.73,0.12,0,10.1,0.56,44.4,1.36,31.1
2723,"Ike Ugbo","CAN","FW","Troyes","Ligue 1",24,185,73,14,814,0.56,40,0.27,14.2,12.1,14.9,0,0.33,0,1.44,0.22,0,22.1,1.22,27.3,1.78,20.5
2731,"Cengiz Ünder","TUR","FWMF","Marseille","Ligue 1",25,173,66,32,2200,0.41,34.5,0.16,19.1,29.2,39.2,0.08,1.76,0.41,3.4,0.33,0.04,10,2.34,42.1,1.43,45.8
2899,"Arber Zeneli","KVX","FW","Reims","Ligue 1",27,176,72,9,409,0.44,27.3,0.18,16.2,20.7,29.3,0.67,1.78,0.22,3.78,0.67,0,15.8,4.22,78.9,1.11,0
