"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
1239,"Danny Ings","ENG","FW","Aston Villa","Premier League",30,178,73,30,1898,0.33,35.4,0.13,13.3,12.2,18,0.28,0.66,0.14,1.47,0.38,0,18.2,1.66,31.4,0.66,30.7
1281,"Gabriel Jesus","BRA","FW","Manchester City","Premier League",25,175,73,28,1877,0.38,33.3,0.11,13.2,30.5,36.3,0.38,1.48,0.29,3.73,0.86,0.1,14.1,2.92,65.6,1.48,33.9
1284,"Raúl Jiménez","MEX","FW","Wolves","Premier League",31,188,81,34,2631,0.21,26.3,0.09,16.1,19.1,26.7,0.14,0.62,0.14,2.29,0.51,0.1,15.2,3.18,40.9,1.99,44.3
1303,"Diogo Jota","POR","FW","Liverpool","Premier League",26,178,73,35,2364,0.57,36.3,0.16,11.8,21.6,29.3,0.15,1.18,0.08,3.31,0.53,0.15,22.4,2.78,43.8,1.71,27.8
1343,"Harry Kane","ENG","FW","Tottenham","Premier League",29,188,89,37,3232,0.47,38.9,0.1,16.9,18.4,26.5,0.25,1.14,0.22,3.26,0.58,0.03,10.5,2.84,60.8,1.95,47.3
1380,"Joshua King","NOR","FW","Watford","Premier League",30,184,82,32,2248,0.2,37.5,0.08,14.7,15.5,21,0.12,0.52,0.08,2.4,0.28,0.04,19.4,2.68,53.7,1,42.3
1456,"Alexandre Lacazette","FRA","FWMF","Arsenal","Premier League",31,176,77,30,1782,0.2,27.9,0.05,14.8,17.7,23,0.35,1.01,0.05,3.28,0.45,0,18.1,1.52,56.7,1.82,24.4
1549,"Ademola Lookman","NGA","FWMF","Leicester City","Premier League",25,174,71,26,1453,0.37,44.4,0.22,13.9,26,33.3,0,1.37,0.25,2.48,0.12,0,21.4,4.04,61.5,2.48,19
1579,"Romelu Lukaku","BEL","FW","Chelsea","Premier League",29,191,94,26,1589,0.45,31,0.17,13.1,13.2,18.1,0,0.51,0,2.49,0.28,0.06,10.7,1.64,51.7,0.79,49
1608,"Riyad Mahrez","ALG","FW","Manchester City","Premier League",31,179,67,28,1498,0.66,32.1,0.13,17.2,46.2,56,0.3,2.35,0.36,3.86,0.42,0,11.6,2.65,59.1,1.08,42.9
1641,"Sadio Mané","SEN","FW","Liverpool","Premier League",30,175,69,34,2819,0.51,37.4,0.16,13.3,26.2,34.9,0.06,1.73,0.19,3.1,0.42,0.03,14.4,2.62,59.8,1.95,34.9
1705,"Jean-Philippe Mateta","FRA","FW","Crystal Palace","Premier League",25,192,88,22,1145,0.39,48.6,0.14,10.5,13.3,19.1,0.08,0.24,0.08,1.42,0.16,0,19.6,1.97,60,0.79,44.2
1710,"Neal Maupay","FRA","FW","Brighton","Premier League",26,171,69,32,2276,0.32,23.7,0.12,15.9,18.9,24.4,0.08,1.03,0.08,2.53,0.12,0,20.1,1.94,59.2,1.54,23.5
1724,"Bryan Mbeumo","FRA","FW","Brentford","Premier League",23,171,75,35,2905,0.12,24.7,0.04,15.9,16.8,25.2,0.22,0.8,0.15,2.38,0.37,0,15.6,2.29,47.3,1.27,21.7
1861,"Lucas Moura","BRA","FWMF","Tottenham","Premier League",30,174,70,34,1775,0.1,28.9,0.05,15.6,29.2,38.8,0.3,1.73,0.3,3.2,0.46,0,14.1,3.71,54.8,2.69,59.3
1879,"Jacob Murphy","ENG","FWDF","Newcastle Utd","Premier League",27,179,74,33,1473,0.06,21.4,0.04,19.7,22.2,34.9,0.12,1.16,0.61,2.74,0.3,0,19.5,1.71,53.6,1.04,27.7
1918,"Pedro Neto","POR","FWMF","Wolves","Premier League",22,172,62,13,466,0.19,23.5,0.06,18.7,32.9,43.8,0.19,0.77,0.38,4.42,0.19,0,17.3,4.23,40.9,1.35,37.5
